Class,"addressee","agent","aspect","benefactive","content","counterparty","effector","endpoint","experiencer","goal","means","motivation","nomn","patient","place","posessor","recipient","result","second_member","starting_point","stimulus","subj_with_properties","term","thema","theme","time","trajectory"
ACC,0.98316,0.82267,0.98541,0.96184,0.97868,0.99551,0.99663,0.98765,0.98316,0.96072,0.99327,0.98878,0.99776,0.78788,0.97082,0.89675,0.97755,0.99327,0.97082,0.98092,0.98204,0.8642,0.98316,0.99888,0.85971,0.96857,0.99888
AGF,0.51054,0.75136,0.0,0.42002,0.28687,0.0,0.0,0.0,0.0,0.67673,0.0,0.0,0.0,0.62895,0.0,0.73941,0.5562,0.0,0.38752,0.50169,0.3026,0.59563,0.71574,0.0,0.54552,0.78175,0.0
AGM,0.74405,0.8041,0,0.69434,0.6315,0,None,0,0,0.82935,0,0,None,0.7373,0,0.83678,0.77847,0,0.67596,0.74264,0.63869,0.75009,0.84743,0,0.72331,0.87929,0
AM,-3,18,-5,-4,-5,-2,3,3,-9,5,-2,-8,2,-9,-10,34,4,-4,-12,-1,-6,13,-3,-1,5,-2,-1
AUC,0.62159,0.75893,0.49773,0.57832,0.53448,0.49944,None,0.49605,0.49829,0.72978,0.49887,0.49943,None,0.66314,0.49542,0.77299,0.65984,0.49944,0.56415,0.62045,0.53882,0.65486,0.74656,0.5,0.6224,0.80006,0.5
AUCI,Fair,Good,Poor,Poor,Poor,Poor,None,Poor,Poor,Good,Poor,Poor,None,Fair,Poor,Good,Fair,Poor,Poor,Fair,Poor,Fair,Good,Poor,Fair,Very Good,Poor
AUPR,0.29167,0.61768,0.0,0.19222,0.10096,0.0,None,0.0,0.0,0.44726,0.0,0.0,None,0.46489,0.0,0.5279,0.29167,0.0,0.21818,0.26136,0.125,0.3682,0.55,None,0.31718,0.63202,None
BCD,0.00168,0.0101,0.00281,0.00224,0.00281,0.00112,0.00168,0.00168,0.00505,0.00281,0.00112,0.00449,0.00112,0.00505,0.00561,0.01908,0.00224,0.00224,0.00673,0.00056,0.00337,0.0073,0.00168,0.00056,0.00281,0.00112,0.00056
BM,0.24317,0.51787,-0.00454,0.15663,0.06895,-0.00113,None,-0.00789,-0.00341,0.45956,-0.00225,-0.00113,None,0.32628,-0.00916,0.54598,0.31968,-0.00113,0.12831,0.2409,0.07765,0.30972,0.49313,0.0,0.2448,0.60013,0.0
CEN,0.43342,0.30993,0.53101,0.59239,0.624,0.26314,0.16109,0.49915,0.40469,0.48475,0.45347,0.54766,0.0,0.45131,0.60952,0.40478,0.40496,0.39499,0.518,0.51976,0.54542,0.44007,0.35971,0.0,0.54331,0.33743,0.0
DOR,48.5,12.49383,0.0,11.97193,10.36905,0.0,None,0.0,0.0,39.29333,0.0,0.0,None,5.70595,0.0,19.73071,36.125,0.0,19.44361,36.29167,15.89091,7.11028,144.5,None,5.48026,103.26154,None
DP,0.9294,0.60464,None,0.59442,0.56001,None,None,None,None,0.87899,None,None,None,0.41699,None,0.71405,0.85886,None,0.71054,0.85997,0.66223,0.46967,1.1908,None,0.40732,1.11034,None
DPI,Poor,Poor,None,Poor,Poor,None,None,None,None,Poor,None,None,None,Poor,None,Poor,Poor,None,Poor,Poor,Poor,Poor,Limited,None,Poor,Limited,None
ERR,0.01684,0.17733,0.01459,0.03816,0.02132,0.00449,0.00337,0.01235,0.01684,0.03928,0.00673,0.01122,0.00224,0.21212,0.02918,0.10325,0.02245,0.00673,0.02918,0.01908,0.01796,0.1358,0.01684,0.00112,0.14029,0.03143,0.00112
F0.5,0.3125,0.60076,0.0,0.20202,0.11111,0.0,0.0,0.0,0.0,0.42424,0.0,0.0,0.0,0.47181,0.0,0.46065,0.26316,0.0,0.24194,0.26786,0.13889,0.35211,0.57692,0.0,0.31183,0.64171,0.0
F1,0.28571,0.6165,0.0,0.19048,0.09524,0.0,0.0,0.0,0.0,0.44444,0.0,0.0,0.0,0.46459,0.0,0.51064,0.28571,0.0,0.1875,0.26087,0.11111,0.36649,0.54545,0.0,0.31694,0.63158,0.0
F2,0.26316,0.6331,0.0,0.18018,0.08333,0.0,0.0,0.0,0.0,0.46667,0.0,0.0,0.0,0.45759,0.0,0.57279,0.3125,0.0,0.15306,0.25424,0.09259,0.3821,0.51724,0.0,0.32222,0.62176,0.0
FDR,0.66667,0.4093,1.0,0.78947,0.875,1.0,1.0,1.0,1.0,0.58824,1.0,1.0,1.0,0.52326,1.0,0.56757,0.75,1.0,0.7,0.72727,0.83333,0.65686,0.4,None,0.69149,0.35135,None
FN,9,70,9,19,12,3,0,4,12,15,4,9,0,99,18,29,8,5,19,9,11,54,9,1,60,15,1
FNR,0.75,0.35533,1.0,0.82609,0.92308,1.0,None,1.0,1.0,0.51724,1.0,1.0,None,0.54696,1.0,0.37662,0.66667,1.0,0.86364,0.75,0.91667,0.60674,0.5,1.0,0.67416,0.38462,1.0
FOR,0.0102,0.10355,0.01015,0.02179,0.01359,0.00337,0.0,0.00452,0.01351,0.0175,0.0045,0.01011,0.0,0.13769,0.02039,0.03718,0.00914,0.00562,0.02157,0.01023,0.01243,0.06844,0.01027,0.00112,0.07528,0.01756,0.00112
FP,6,88,4,15,7,1,3,7,3,20,2,1,2,90,8,63,12,1,7,8,5,67,6,0,65,13,0
FPR,0.00683,0.1268,0.00454,0.01728,0.00797,0.00113,0.00337,0.00789,0.00341,0.0232,0.00225,0.00113,0.00224,0.12676,0.00916,0.0774,0.01365,0.00113,0.00806,0.0091,0.00569,0.08354,0.00687,0.0,0.08105,0.01526,0.0
G,0.28868,0.61709,0.0,0.19135,0.09806,0.0,None,0.0,0.0,0.44585,0.0,0.0,None,0.46474,0.0,0.5192,0.28868,0.0,0.20226,0.26112,0.11785,0.36734,0.54772,None,0.31706,0.6318,None
GI,0.24317,0.51787,-0.00454,0.15663,0.06895,-0.00113,None,-0.00789,-0.00341,0.45956,-0.00225,-0.00113,None,0.32628,-0.00916,0.54598,0.31968,-0.00113,0.12831,0.2409,0.07765,0.30972,0.49313,0.0,0.2448,0.60013,0.0
GM,0.49829,0.75028,0.0,0.41341,0.27624,0.0,None,0.0,0.0,0.6867,0.0,0.0,None,0.62898,0.0,0.75837,0.5734,0.0,0.36778,0.49772,0.28785,0.60034,0.70467,0.0,0.54721,0.77846,0.0
IBA,0.06377,0.43428,0.0,0.03268,0.00648,0.0,None,0.0,0.0,0.23859,0.0,0.0,None,0.22938,0.0,0.40304,0.11408,0.0,0.01953,0.06419,0.00738,0.17184,0.25169,0.0,0.12184,0.38217,0.0
ICSI,-0.41667,0.23537,-1.0,-0.61556,-0.79808,-1.0,None,-1.0,-1.0,-0.10548,-1.0,-1.0,None,-0.07022,-1.0,0.05581,-0.41667,-1.0,-0.56364,-0.47727,-0.75,-0.2636,0.1,None,-0.36565,0.26403,None
IS,4.62936,1.41772,None,3.02779,3.09884,None,None,None,None,3.66119,None,None,None,1.23072,None,2.32304,4.21432,None,3.60288,4.33985,3.62936,1.78041,4.89239,None,1.62694,3.88939,None
J,0.16667,0.44561,0.0,0.10526,0.05,0.0,0.0,0.0,0.0,0.28571,0.0,0.0,0.0,0.30258,0.0,0.34286,0.16667,0.0,0.10345,0.15,0.05882,0.22436,0.375,0.0,0.18831,0.46154,0.0
LS,24.75,2.67163,0.0,8.15561,8.56731,0.0,None,0.0,0.0,12.65112,0.0,0.0,None,2.34685,0.0,5.00386,18.5625,0.0,12.15,20.25,12.375,3.43523,29.7,None,3.08857,14.81913,None
MCC,0.28032,0.50227,-0.00678,0.17194,0.08765,-0.00195,None,-0.00598,-0.00679,0.42566,-0.00319,-0.00339,None,0.3326,-0.01367,0.46454,0.27748,-0.00252,0.18901,0.25147,0.10943,0.29168,0.53927,None,0.23894,0.61541,None
MCCI,Negligible,Moderate,Negligible,Negligible,Negligible,Negligible,None,Negligible,Negligible,Weak,Negligible,Negligible,None,Weak,Negligible,Weak,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Moderate,None,Negligible,Moderate,None
MCEN,0.47315,0.39633,0.53101,0.63208,0.64347,0.26314,0.16109,0.49915,0.40469,0.57781,0.45347,0.54766,0.0,0.54121,0.60952,0.49453,0.43995,0.39499,0.54925,0.56766,0.56388,0.49907,0.44422,0.0,0.61017,0.44146,0.0
MK,0.32313,0.48715,-0.01015,0.18874,0.11141,-0.00337,0.0,-0.00452,-0.01351,0.39426,-0.0045,-0.01011,0.0,0.33905,-0.02039,0.39525,0.24086,-0.00562,0.27843,0.2625,0.15424,0.2747,0.58973,None,0.23323,0.63108,None
N,879,694,882,868,878,888,891,887,879,862,887,882,891,710,873,814,879,886,869,879,879,802,873,890,802,852,890
NLR,0.75515,0.40693,1.00456,0.84061,0.9305,1.00113,None,1.00795,1.00342,0.52953,1.00226,1.00114,None,0.62636,1.00925,0.40822,0.67589,1.00113,0.87065,0.75689,0.92191,0.66205,0.50346,1.0,0.73361,0.39057,1.0
NLRI,Negligible,Poor,Negligible,Negligible,Negligible,Negligible,None,Negligible,Negligible,Negligible,Negligible,Negligible,None,Negligible,Negligible,Poor,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Poor,Negligible
NPV,0.9898,0.89645,0.98985,0.97821,0.98641,0.99663,1.0,0.99548,0.98649,0.9825,0.9955,0.98989,1.0,0.86231,0.97961,0.96282,0.99086,0.99438,0.97843,0.98977,0.98757,0.93156,0.98973,0.99888,0.92472,0.98244,0.99888
OC,0.33333,0.64467,0.0,0.21053,0.125,0.0,None,0.0,0.0,0.48276,0.0,0.0,None,0.47674,0.0,0.62338,0.33333,0.0,0.3,0.27273,0.16667,0.39326,0.6,None,0.32584,0.64865,None
OOC,0.28868,0.61709,0.0,0.19135,0.09806,0.0,None,0.0,0.0,0.44585,0.0,0.0,None,0.46474,0.0,0.5192,0.28868,0.0,0.20226,0.26112,0.11785,0.36734,0.54772,None,0.31706,0.6318,None
OP,0.38536,0.67211,-0.01459,0.26256,0.1226,-0.00449,None,-0.01235,-0.01684,0.62223,-0.00673,-0.01122,None,0.47105,-0.02918,0.70319,0.48273,-0.00673,0.21253,0.38385,0.1367,0.46472,0.6529,-0.00112,0.38324,0.73774,-0.00112
P,12,197,9,23,13,3,0,4,12,29,4,9,0,181,18,77,12,5,22,12,12,89,18,1,89,39,1
